"Type","Country","Region","Location","Name","Latitude","Longitude","Year Deployment","Year Modification","Bottom Depth [m]","Reef Edge [m]","Min. Dist. From Coastline [km]","Surrounding Seabed","Meadows","Reef Typology","Structure Wreck","Material","Arrangement Modules","Origin Reef","Total Area [sqm]","Total Volume [cum]","Oasis [Nr.]","Distance Between Oasis [m]","Oasi Dimension[sqm]","Type Of Structures","Structures [Nr.]","Structures Dimension [m]","Dist. Between Structures [m]","Modules Shape","Modules [Nr.]","Dist Between Modules [m]","Dimension LWH [m]","Weight Or Displacement [tons]","Experimental/Professional","Scope","Exploitation","Possible Exploitation","Observations","Biocenosis","Alien Species","Protected Species","Protected area","Management Program","Concession Area","Surveillance Service","Monitoring Program","Available data","Available literature (Scientific or Grey)"
"Artificial reef","Italy","Apulia","Rodi Garganico - Peschici","Rodi Garganico - Peschici",41.969497,15.933217,2008,,"11-20 ",,4,"Sand","No","Specifically designed modules",,"Concrete","Geometrically assembled",,36000000,,1,,1000000,,,,,"tripods, little concrete bricks",,,,,"Experimental","Polifunctional","Maybe",,,,,,,,"no","no",,,
"Artificial reef","Italy","Veneto","Sacca degli Scardovari","Sacca degli Scardovari",44.803,12.489,2015,,,,4.7,"Sand","No","Specifically designed modules",,"Concrete","Scattered",,,,,,,,,,,"ReefBall","Pallet ball (11), Bay ball (5)",,"Pallet ball (Ø 0.9 / h 1.22), Bay ball (Ø 0.61 / h 0.9)",,"Experimental","Finfish enhancement","No","Diving/Snorkeling, Recreational fishery, Research",,,,,,,,"no",,," Fava F., Ponti M., Giovanardi O., Abbiati M. 2010. Benthic assemblage on concrete artificial reefs in the Northern Adriatic Sea: comparison between tecnoreef pyramids and cubic bundles of tubes. Rapport de la Commission internationale pour l'exploration scientifique de la Méditerranée, 38: 511
Ponti  M., Fava F., Fabi G., Giovanardi O. 2010. Benthic Assemblages on artificial pyramids along the Central and Norther Adriatic italian coasts. Biologia Marina Mediterranea, 17 (1): 177-178
2016. WP 4.3 – Incremento della biodiversità in Regione del Veneto – Reefball. Progetto EcoSea - Protezione, miglioramento e gestione integrata dell'ambiente marino e delle risorse naturali transfrontaliere. Programma Operativo Ipa Adriatico 2007-2013. p: 70-72."
"Artificial reef","Italy","Marche","Portonovo","Portonovo 2",43.572,13.597,1988,,10,,0.6,"Sand, Mud","No","Specifically designed modules",,"Concrete","Geometrically assembled",,18525,9750,3,100,"1250 each area","pyramids (formed by 5 cubes)","pyramids (87)","pyramids (h 4)",,"cubes, concrete cages ","cages (36)",,"cubes (2/2/2), cages (4/6/5)",,"Professional","Finfish enhancement, Habitat protection, Mariculture","Professional Fishery Cooperative","Diving/Snorkeling, Fishing Tourism, Mariculture, Professional fishery, Recreational fishery, Research",,,,,,,"yes","yes","no","Fish community, Geophysical map","Bombace G., Fabi G., Fiorentini L., Speranza S. 1994. Analysis of the efficacy of artificial reefs located in five different areas of the Adriatic Sea. Bulletin of Marine Science, 55 (2-3): 559-580
Bombace, G., Fabi G., Fiorentini L. 2000. Artificial reefs in the Adriatic Sea. Pages 31-63 In: Jensen A.C., Collins K.J., Lockwood A.P.M. (Eds) “Artificial reefs in European Seas”. Dordrecht, Kluwer Academic Publishers
Manoukian S., Fabi G., Spagnolo A. 2004. Use of Multibeam Echosounder to detect terrain changes around two artificial reefs (Western Adriatic Sea). Rapport de la Commission internationale pour l'exploration scientifique de la Méditerranée, 37: 52
Fabi G. 2006. Le Barriere artificiali in Italia. Pagg. 20-34 in Campo Sperimentale in mare: prime esperienze nel Veneto relative a elevazioni del fondale con materiale inerte. ARPAV, Padova
"
"Artificial reef","Italy","Apulia","Lesina","ITTIMAR S.C.AR.L.",41.93827,15.41614,2016,,16,,4,"Sand","No","Specifically designed modules",,"Concrete","Geometrically assembled",,400,,1,,200,"pyramids","pyramids (6 )","pyramids (h 2.4 )",10,"cubes ","cubes (87)",0.3,"cubes (0.92/0.92/0.80)",,"Experimental","Diving/Snorkeling, Finfish enhancement, Fishing Tourism, Habitat restoration,Recreational fishery","HOLDER OF SEA-FARM","Diving/Snorkeling, Fishing Tourism, Recreational fishery, Research",,,,,,,"yes","yes","water and bottom quality with chemical anallisis, visual census, phisical data with CTD. Stagional Sampling","Benthic community, Fish community, Sediments, Water column","WWW.ECOSEA.EU"
"Wreck","Italy","Marche","Falconara Marittima","num2",43.71166667,13.465,,,19,,9.17,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.3"
"Wreck","Italy","Marche","Falconara Marittima","num5",43.6508333333333,13.4133333333333,,,11,,2.253076,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.4"
"Wreck","Italy","Marche","Falconara Marittima","n6",43.7,13.4833333333333,,,19,,9.01,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.5"
"Wreck","Italy","Marche","Falconara Marittima","n7",43.7425,13.555,,,37,,15.5,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.6"
"Wreck","Italy","Marche","Ancona","n11",43.7375,13.6433333333333,,,19,,14.08,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.7"
"Wreck","Italy","Marche","Ancona","n15",43.7,13.6188888888889,,,35.5,,10.3,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.8"
"Wreck","Italy","Marche","Ancona","n16",43.7222222222222,13.6533333333333,,,50.5,,13.52,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.9"
"Wreck","Italy","Marche","Ancona","n17",43.7294444444444,13.6644444444444,,,53.5,,14.65,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.10"
"Wreck","Italy","Marche","Ancona","n18",43.6611111111111,13.5794444444444,,,20.5,,5.31,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.11"
"Wreck","Italy","Marche","Ancona","n20",43.6222222222222,13.555,,,12.5,,1.45,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.13"
"Wreck","Italy","Marche","Ancona","n21",43.7433333333333,13.7377777777778,,,63.5,,11.7,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.14"
"Wreck","Italy","Marche","Ancona","n32",43.6222222222222,13.7083333333333,,,25.5,,9.01,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.15"
"Wreck","Italy","Marche","Ancona","n34",43.6872222222222,13.7983333333333,,,60,,18.02,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.16"
"Wreck","Italy","Marche","Ancona","n35",43.6988888888889,13.815,,,63.5,,19.6,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.17"
"Wreck","Italy","Marche","Sirolo","n43",43.5816666666667,13.825,,,42,,15.13,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.18"
"Wreck","Italy","Marche","Numana","n44",43.555,13.7688888888889,,,22.5,,10.8,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.19"
"Wreck","Italy","Marche","Numana","n46",43.6655555555556,14.1538888888889,,,81.5,,40.2,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.20"
"Wreck","Italy","Marche","Scossicci","n49",43.4791666666667,13.6616666666667,,,10,,1.29,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.21"
"Wreck","Italy","Marche","Scossicci","n51",43.525,13.8233,,,27,,13.5,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.22"
"Wreck","Italy","Marche","Porto Recanati","n52",43.4833333333333,13.7255555555556,,,14,,6.28,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.23"
"Wreck","Italy","Marche","Porto Recanati","n55",43.4483333333333,13.6861111111111,,,10.5,,1.77,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.25"
"Wreck","Italy","Marche","Porto Recanati","n57",43.4375,13.6783333333333,,,9,,0.96,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.26"
"Wreck","Italy","Marche","Porto Recanati","n58",43.4880555555556,13.8527777777778,,,27,,14.16,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.27"
"Wreck","Italy","Marche","Porto Recanati","n61",43.5722222222222,14.1433333333333,,,80,,36.05,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.28"
"Wreck","Italy","Marche","Porto Recanati","n64",43.4155555555556,13.6833333333333,,,6.5,,0.48,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.29"
"Wreck","Italy","Marche","Porto Potenza Picena","n66",43.455,14.0283333333333,,,60,,24.9,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.30"
"Wreck","Italy","Marche","Civitanova","n67",43.3611111111111,13.7533333333333,,,11.5,,3.54,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.31"
"Wreck","Italy","Marche","Civitanova","n73",43.3230555555556,13.8433333333333,,,15,,7.56,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.32"
"Wreck","Italy","Marche","Civitanova","n75",43.3230555555556,13.8833333333333,,,19,,10.14,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.33"
"Wreck","Italy","Marche","Porto Sant'Elpidio","n76",43.2833333333333,13.7847222222222,,,11.5,,2.25,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.34"
"Wreck","Italy","Marche","Porto San Giorgio","n95",43.2030555555556,13.9097222222222,,,17.5,,7.88,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.35"
"Wreck","Italy","Marche","Porto San Giorgio","n99",43.1827777777778,13.9005555555556,,,16,,6.6,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.36"
"Wreck","Italy","Marche","Pedaso","n116",43.1055555555556,13.9138888888889,,,15,,4.83,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.37"
"Wreck","Italy","Marche","Tre Camini","n125",43.07,13.8616666666667,,,6,,0.8,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.38"
"Wreck","Italy","Marche","Cupra Marittima","n132",43.0466666666667,13.8638888888889,,,5.5,,0.48,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.39"
"Wreck","Italy","Marche","Grottammare","n141",43.0233333333333,13.9811111111111,,,14,,4.67,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.40"
"Wreck","Italy","Marche","San Benedetto del Tronto","n152",42.9580555555556,13.8916666666667,,,5,,0.07,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.41"
"Wreck","Italy","Marche","San Benedetto del Tronto","n153",42.9561111111111,13.8855555555556,,,6.5,,0.1,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.42"
"Wreck","Italy","Marche","San Benedetto del Tronto","n165",42.93,13.9016666666667,,,3,,0.15,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.43"
"Wreck","Italy","Marche","San Benedetto del Tronto","n166",42.9269444444445,13.9033333333333,,,3,,0.15,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.44"
"Wreck","Italy","Marche","Porto d'Ascoli","n168",42.9225,13.9055555555556,,,3,,0.15,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.45"
"Wreck","Italy","Marche","Porto d'Ascoli","n169",42.9038888888889,13.9241666666667,,,6,,0.8,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.46"
"Wreck","Italy","Marche","Martinsicuro","n170",42.8966666666667,13.9261111111111,,,5.5,,0.64,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.47"
"Wreck","Italy","Marche","Alba Adriatica","n174",42.8633333333333,14.1344444444444,,,53,,14.32,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.48"
"Wreck","Italy","Marche","Alba Adriatica","n175",42.8405555555556,14.1344444444444,,,47,,14,,,"Decommissioned structures","sunk vessel/ship",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,,,,,,,,,,"Sacaccini A. & Piccinetti C. 1969. Il fondale del mare da Falconara a Tortoreto. Programma di ricerca sulle risorse marine e del fondo marino. Consiglio Nazionale delle ricerche. Serie C n.49"
"Wreck","Italy","Marche","Fano","CB 17",43.933333,13.02,1943,,15,,,"Sand",,"Decommissioned structures","midget submarine",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Few remains still visible",,,,,,,,,,"http://web.tiscali.it/adriasubancona/20801.html"
"Artificial reef","Italy","Veneto","Venice","Campo Sperimentale di Cavallino",45.451,12.591,2003,,14,,3.7,"Mud","No","Specifically designed modules",,"Concrete","Geometrically assembled",,5000,,"1 (formed by 4 different areas)",,"1250 each area","pyramid (formed by 5 cubes) ,longlines (floating and submerged), ","pyramids (2), longlines (3)","pyramids (h 4)",,"concrete cubes, concrete cage number: 24 cubes (10 of which to form 2 pyramids), 1 cage",,,"cubes (2/2/2), cage (4/5/6)",,"Experimental","Finfish enhancement, Habitat protection, Research","Maybe","Diving/Snorkeling, Recreational fishery",,,,,,,,,,,"Vazzoler M., Ancona S., Berti L., Zogno A.R., Iacovone V., Fassina D., Bon D., Rossi S., Bertaggia R. Pellizzato M. 2004. Area di protezione e studio del Nord Adriatico: campo sperimentale. Incontro scientifico congiunto CONISMA - AIOL d'intesa con la SIBM e la SITE. Terrasini (PA), 15-22 ottobre 2004. Poster
Le BA esistenti in Veneto. Manuale per il monitoraggio delle barriere artificiali sommerse. 2006. INTERREG III A – Transfrontaliero Adriatico. Tavolo blu Adriatico per la gestione sostenibile delle attività di pesca e delle risorse alieutiche dell'Adriatico - ADRIBLU. p: 66-68.
Bruno S., Bastianini M., Acri F., Bon, D., Rizzardi S., Vazzoler M., Bertaggia R., Boldrin A. 2006. Idrologia e idrodinamica in un'area a barriere artificiali del Nord Adriatico. Biologia Marina Mediterranea, 13 (1): 688-692
Molin E., Maggiore F., Zanella M. 2006. Stime di biomassa di Tubularia crocea (Agassiz, 1862) mediante monitoraggio fotografico in un’area a barriere artificiali nel nord Adriatico. Biologia Marina Mediterranea 13 (1): 737-740"
"Artificial reef","Italy","Veneto","Sacca del Canarin","Sacca del Canarin",44.9027,12.5467,2006,"2010, 2011","12-15",,,"Sand, Mud",,"Specifically designed modules",,"Concrete, Steel/Iron","Geometrically assembled, Scattered",,,,4,50,"ADRI.BLU tecnoreef oasi (20000), ADRI.BLU reef type1 oasi (12000), 1° LR 15/2007 (20000), 2° LR 15/2007 (35000)","Tecnoreef pyramids (formed by 12 plates), Tecnoreef pyramids (formed by 30 plates), reef type1 (fomed by concrete tubes, concrete insoles and steel sections), mixed structures, pyramids, parallelepiped","Tecnoreef pyramid 30 plates (13 ), Tecnoreef pyramids 12 plates (55), pyramids, reef type1 (14 in oasi 1° LR 15/2007, 26 in oasi 2° LR 15/2007), pyramids (23), mixed structures (10), parallelepiped (4)","Tecnoreef pyramid 12 plates (Ø 3.8 / h 1.85), Tecnoreef pyramid 30 plates (Ø 5.7 / h 2.4)",,"plates, tubes, armed insoles, steel sections",,,"tubes (Ø 0.2-0.5), armed insoles (2.4/3/0.25)",,"Experimental","Finfish enhancement","Maybe","Recreational fishery, Research",,,,,,,,,,," Le BA esistenti in Veneto. Manuale per il monitoraggio delle barriere artificiali sommerse. 2006. INTERREG III A – Transfrontaliero Adriatico. Tavolo blu Adriatico per la gestione sostenibile delle attività di pesca e delle risorse alieutiche dell'Adriatico - ADRIBLU. p: 66-103. 
 2007. Le barriere artificiali ADRI.BLU in Veneto. AT 4 -Azioni pilota finalizzate all'incremento della sostenibilità delle attività di pesca. Gestione sostenibile delle attività di pesca e delle risorse alieutiche dell'Adriatico. 2007. Progetto ADRIBLU. INTERREG III A – Alto Adriatico. p: 106-114.
Sabatini L., Franceschini G., Giovanardi O. 2013. Parte seconda. Caso di studio del Veneto: Le barriere artificiali antistanti la Sacca del Canarin (RO). Le strutture sommerse per il ripopolamento ittico e la pesca (""barriere artificiali""). Quaderni  ISPRA -Ricerca Marina 3-2012. p: 53-114.
Ponti M., Fava F., Perlini R.A., Giovanardi O., Abbiati M. 2015. Benthic assemblages on artificial reefs in the northwestern Adriatic Sea: Does structure type and age matter? Marine Environmental Research, 104: 10-19"
"Artificial reef","Italy","Friuli Venezia Giulia","Trieste","Trieste",45.653,13.747,2003,,,,,,,"Specifically designed modules",,"Concrete","Geometrically assembled",,,,,,6175,,,,,,,,,,,"Finfish enhancement, Habitat restoration",,,,,,,,,,,,,
"Artificial reef","Italy","Molise","Molise","Termoli",42.011,15.005,2003,,,,,,,"Specifically designed modules",,"Concrete","Geometrically assembled",,,,,,,,"Tecnoreef pyramids",,,,,,,,,"Finfish enhancement, Habitat restoration",,,,,,,,,,,,,
"Artificial reef","Italy","Apulia","Ischitella","Ischitella",41.954,15.906,"80s",,,,,,,"Specifically designed modules",,"Concrete","Geometrically assembled",,,,,,,"pyramids (formed by 5 cubes)",,,,"cubes ",,,,,,,,,,,,,,,,,,,
